378950,06/02/25,17:00:00,FLP,PSIG,8.194978
378951,06/02/25,17:00:00,FLT,DegC,16.502733
378952,06/02/25,17:00:00,FLR,M3/h,14.292812
378953,06/02/25,17:00:00,HPP,PSIG,57.80155
378954,06/02/25,17:00:00,BPP,PSIG,77.843834
378955,06/02/25,17:00:00,DTL,Percent,72.74609
378956,06/02/25,17:00:00,FUDP,PSIG,77.562416
378957,06/02/25,17:00:00,WTL,Percent,80.115776
378958,06/02/25,17:00:01,FLP,PSIG,8.436964
378959,06/02/25,17:00:01,FLT,DegC,16.679846
378960,06/02/25,17:00:01,FLR,M3/h,14.250837
378961,06/02/25,17:00:01,HPP,PSIG,51.027325
378962,06/02/25,17:00:01,BPP,PSIG,80.380806
378963,06/02/25,17:00:01,DTL,Percent,70.11049
378964,06/02/25,17:00:01,FUDP,PSIG,76.21041
378965,06/02/25,17:00:01,WTL,Percent,72.98765
378966,06/02/25,17:00:02,FLP,PSIG,8.083716
378967,06/02/25,17:00:02,FLT,DegC,16.223013
378968,06/02/25,17:00:02,FLR,M3/h,14.111408
378969,06/02/25,17:00:02,HPP,PSIG,50.910572
378970,06/02/25,17:00:02,BPP,PSIG,71.92203
378971,06/02/25,17:00:02,DTL,Percent,71.24367
378972,06/02/25,17:00:02,FUDP,PSIG,70.67264
378973,06/02/25,17:00:02,WTL,Percent,80.41639
378974,06/02/25,17:00:03,FLP,PSIG,8.185068
378975,06/02/25,17:00:03,FLT,DegC,16.91579
378976,06/02/25,17:00:03,FLR,M3/h,14.222163
378977,06/02/25,17:00:03,HPP,PSIG,59.361668
378978,06/02/25,17:00:03,BPP,PSIG,76.515594
378979,06/02/25,17:00:03,DTL,Percent,70.46229
378980,06/02/25,17:00:03,FUDP,PSIG,76.87271
378981,06/02/25,17:00:03,WTL,Percent,74.16827
378982,06/02/25,17:00:04,FLP,PSIG,8.445239
378983,06/02/25,17:00:04,FLT,DegC,17.1181
378984,06/02/25,17:00:04,FLR,M3/h,14.007257
378985,06/02/25,17:00:04,HPP,PSIG,60.08394
378986,06/02/25,17:00:04,BPP,PSIG,76.07502
378987,06/02/25,17:00:04,DTL,Percent,71.1778
378988,06/02/25,17:00:04,FUDP,PSIG,76.62866
378989,06/02/25,17:00:04,WTL,Percent,79.55179
378990,06/02/25,17:00:05,FLP,PSIG,8.024767
378991,06/02/25,17:00:05,FLT,DegC,17.05088
378992,06/02/25,17:00:05,FLR,M3/h,14.10227
378993,06/02/25,17:00:05,HPP,PSIG,60.327606
378994,06/02/25,17:00:05,BPP,PSIG,79.44041
378995,06/02/25,17:00:05,DTL,Percent,73.7355
378996,06/02/25,17:00:05,FUDP,PSIG,71.20669
378997,06/02/25,17:00:05,WTL,Percent,75.26058
378998,06/02/25,17:00:06,FLP,PSIG,8.403358
378999,06/02/25,17:00:06,FLT,DegC,16.832697
379000,06/02/25,17:00:06,FLR,M3/h,14.422578
379001,06/02/25,17:00:06,HPP,PSIG,51.425472
379002,06/02/25,17:00:06,BPP,PSIG,76.96305
379003,06/02/25,17:00:06,DTL,Percent,70.83337
379004,06/02/25,17:00:06,FUDP,PSIG,73.179955
379005,06/02/25,17:00:06,WTL,Percent,74.10917
379006,06/02/25,17:00:07,FLP,PSIG,8.320372
379007,06/02/25,17:00:07,FLT,DegC,17.274956
379008,06/02/25,17:00:07,FLR,M3/h,14.00287
379009,06/02/25,17:00:07,HPP,PSIG,50.869953
379010,06/02/25,17:00:07,BPP,PSIG,72.30397
379011,06/02/25,17:00:07,DTL,Percent,80.382126
379012,06/02/25,17:00:07,FUDP,PSIG,75.36108
379013,06/02/25,17:00:07,WTL,Percent,77.61367
379014,06/02/25,17:00:08,FLP,PSIG,8.172139
